发电成本,开关成本,充放电成本,弃能源成本,碳捕捉成本,碳交易成本,碳封存成本,总成本,碳排放
2450791.8770696456,30,16000.0,600952.790293951,549979.7952465712,651863.4008711146,2036962.20461693,6306580.068098213,1916.87836879224
2457054.197330196,30,18000.0,541716.159838018,562752.6123359584,654592.284863994,2084268.9345776236,6318414.18894579,1827.9543825236183
2443737.970391103,30,16000.0,591418.1857536875,311391.8628230224,648755.8932074342,1153303.1956408238,5164637.10781607,4092.6118303327166
2446002.7047592537,30,19000.0,595589.8744072474,308835.2328577858,649750.0584307597,1143834.195769577,5163042.0662246235,4126.974278648742
2435629.0177580626,30,18000.0,575127.9176826829,438120.0790465978,645216.6295318303,1622666.9594318438,5734790.603451017,2881.14582219276
2446269.4424296776,30,18000.0,574365.0151548747,527448.5124918899,649879.3922280676,1953513.0092292218,6169505.371533731,2104.1679309921888
2449543.0415659123,30,15000.0,553745.191341186,436851.8773206218,651302.858086254,1617969.916002303,5724442.884316277,2958.3317485561147
2443814.4744491437,30,17000.0,590759.4079160321,418896.8369567809,648806.0889506382,1551469.7665065962,5670776.574779191,3097.7351423425225
2439489.6321303505,30,19000.0,613354.8843258629,518487.4665757144,646910.5885506914,1920323.9502804242,6157596.521863043,2155.2179581773426
2438406.9948935993,30,20000.0,648855.7573983134,157246.17863157933,646435.6398117176,582393.2541910346,4493367.824926244,5494.937722712925
2447233.5565146394,30,16000.0,617033.2944208425,542415.9092684822,650298.410694418,2008947.8121054897,6281958.9830038715,1970.0864987085124
2454613.2210666025,30,18000.0,729337.2201694365,624731.1608790554,653528.8170065648,2313819.1143668713,6794059.533488531,1242.643794798574
2442982.4451149916,30,19000.0,584644.8005768603,349747.95252068026,648437.1073867433,1295362.7871136307,5340205.092712905,3734.035047127142
2436729.067146894,30,17000.0,610318.5945908021,356639.8350504362,645698.793438979,1320888.2779645785,5387304.56819169,3640.7770840023068
2442636.9701239397,30,19000.0,615310.044202442,169878.96912640915,648289.2697762966,629181.3671348487,4524326.620363936,5397.898945348865
2435747.1588794133,30,17000.0,583534.5986627098,249900.93245855253,645269.0897792017,925559.0091057501,4857040.788885628,4624.479786689406
2436076.8622374167,30,16000.0,616816.5566385728,421345.9073215879,645407.8683638285,1560540.3974873624,5696217.592048768,3038.518558580825
2438709.573623696,30,16000.0,602322.0547721225,525375.4648597528,646569.3492600785,1945835.0550361217,6174841.497551772,2087.7709566040885
2448870.1097325133,30,17000.0,574614.2784444515,187437.04885517483,651007.4105624977,694211.2920562029,4573170.13965084,5264.551453327209
2441783.0772648957,30,18000.0,581260.8130396821,299796.89721772965,647906.5591013213,1110358.8785841842,5099136.225207813,4190.839998177404
2443056.342403562,30,19000.0,598957.057580566,539009.3109839145,648475.2339692678,1996330.7814219058,6244858.7263592165,1982.0250246094058
2448316.3591844286,30,17000.0,587857.9253378878,188226.41886394547,650759.0521859232,697134.8846812795,4589324.640253465,5254.571951586297
2442922.57976746,30,19000.0,579461.4141069731,152226.66650668366,648411.9811483109,563802.4685432729,4405855.1100727,5562.665668946236
2449233.8458189103,30,17000.0,571089.9718077886,226533.47439751634,651168.1657464297,839012.8681389494,4754068.325909594,4904.276063485205
2437356.983219689,30,17000.0,571396.1038095019,452180.00718717655,645971.8690542246,1674740.7673599133,5798675.730630506,2759.082157452094
2440702.751375947,30,19000.0,604950.771877747,226965.8890937377,647441.9460692103,840614.4040508803,4779705.762467522,4860.2053454557035
2434120.6419904893,30,18000.0,624660.9967558444,338115.0981921985,644551.7562925139,1252278.141452587,5311756.634683633,3799.968692524596
2439161.289440003,30,18000.0,589841.3691712124,150164.33469309018,646760.1959497164,556164.2025670008,4400121.391821023,5564.000202719233
2438188.605505879,30,19000.0,601727.2492993355,313162.45276918565,646340.3819534275,1159860.936182169,5178309.625709997,4050.244239688959
2439808.562060192,30,18000.0,583934.6510089347,404400.37175194646,647040.4871699755,1497779.1546368387,5590993.226627887,3212.976706633447
